detector_id,completeness
TEU00397_Det0,100.0
TEU00397_Det1,100.0
TEU00398_Det0,100.0
TEU00410_Det0,100.0
TEU00410_Det1,100.0
TEU00414_Det0,100.0
TEU00414_Det1,100.0
TEU00415_Det1,100.0
TEU00415_Det2,100.0
TEU00424_Det0,100.0
TEU00424_Det1,100.0
TEU00425_Det0,100.0
TEU00425_Det1,100.0
TEU00425_Det2,100.0
TEU00431_Det0,100.0
TEU00431_Det1,100.0
TEU00435_Det1,100.0
TEU00436_Det0,100.0
TEU00436_Det1,100.0
TEU00437_Det0,100.0
TEU00439_Det1,100.0
TEU00440_Det1,100.0
TEU00452_Det0,100.0
TEU00452_Det1,100.0
TEU00452_Det2,100.0
TEU00452_Det3,100.0
TEU00463_Det0,100.0
TEU00463_Det1,100.0
TEU00469_Det0,100.0
TEU00469_Det1,92.0
TEU00469_Det2,83.0
TEU00471_Det0,100.0
TEU00471_Det1,100.0
TEU00471_Det2,100.0
TEU00475_Det0,100.0
TEU00475_Det1,100.0
TEU00476_Det0,100.0
TEU00476_Det1,100.0
TEU00477_Det0,100.0
TEU00477_Det1,100.0
TEU00477_Det2,100.0
TEU00478_Det1,100.0
TEU00478_Det2,100.0
TEU00484_Det0,100.0
TEU00484_Det1,100.0
TEU00484_Det2,100.0
TEU00490_Det0,100.0
TEU00490_Det1,100.0
TEU00493_Det2,100.0
TEU00502_Det0,100.0
TEU00502_Det1,100.0
TEU00507_Det0,100.0
TEU00507_Det1,100.0
TEU00507_Det2,100.0
TEU00508_Det0,58.0
TEU00508_Det1,100.0
TEU00508_Det2,58.0
TEU00509_Det0,100.0
TEU00509_Det1,100.0
TEU00510_Det0,100.0
TEU00510_Det1,100.0
TEU00511_Det0,100.0
TEU00519_Det1,100.0
TEU00520_Det1,100.0
TEU00521_Det0,100.0
TEU00521_Det1,100.0
TEU00522_Det0,100.0
TEU00522_Det1,100.0
TEU00522_Det2,100.0
TEU00523_Det0,100.0
TEU00523_Det1,100.0
TEU00523_Det2,100.0
TEU00524_Det0,100.0
TEU00524_Det1,100.0
TEU00527_Det0,100.0
TEU00527_Det1,100.0
TEU00527_Det2,100.0
TEU00530_Det0,100.0
TEU00530_Det1,100.0
TEU00530_Det2,100.0
TEU00532_Det1,100.0
TEU00532_Det2,100.0
TEU00533_Det0,100.0
TEU00533_Det1,100.0
TEU00538_Det0,100.0
TEU00539_Det0,100.0
TEU00539_Det1,100.0
teuscalaS00000DD00349D1,83.0
teuscalaS00000DD00350D1,92.0
teuscalaS00000DD00350D2,92.0
teuscalaS00000DD00350D3,92.0
teuscalaS00000DD00350D4,92.0
teuscalaS00000DD00351D1,92.0
teuscalaS00000DD00352D1,8.0
teuscalaS00000DD00354D1,83.0
teuscalaS00000DD00355D0,100.0
teuscalaS00000DD00355D1,100.0
teuscalaS00000DD00356D0,100.0
teuscalaS00000DD00357D0,100.0
teuscalaS00000DD00357D1,100.0
teuscalaS00000DD00358D1,92.0
teuscalaS00000DD00358D2,25.0
teuscalaS00000DD00359D1,92.0
teuscalaS00000DD00359D2,25.0
teuscalaS00000DD00360D1,75.0
teuscalaS00000DD00361D0,100.0
